pattern,sum
check,7.307485026108104
floral,10.98012629050276
patterned,0.8446115111020502
pleats,0.5345224838248488
natural,7.881474804285519
animal print,2.5773502691896257
camouflage,0.0
colorblock,0.0
dots,0.48507125007266594
geometric,1.1517379167393327
logo,4.032003946082601
ombre,0.31622776601683794
plaid,1.393846850117352
solid,3.6569285347511116
stripe,10.670070946970295
tie-dye,0.0
tropical,1.6755095323762874
